ID;TITLE;AUTHOR;TYPE;LOCATION;DATE;ABSLINK;FORMLINK;AXIS;PAPERLINK
A192;Chemical and phases equilibrium calculations by Gibbs energy minimization using methods based on Lagrange Multipliers for the process of CO2 absorption;Arioston Araújo de Morais Júnior;Oral;A definir;Local;https://goo.gl/F5F52W;https://goo.gl/fhBFxN;Modelagem e Simulação de Processos;a
A193;Simulation and Optimization of Second Generation Ehanol Fermentation in Three Continuous Reactors at Sucessively Lower Temperatures;Rafael Ramos de Andrade;Pôster;A definir;Local;https://goo.gl/mxBCqe;https://goo.gl/PLfWDy;Modelagem e Simulação de Processos;a
A194;Inference control strategies using nonlinear state estimators applied to a non-isothermal chemical reactor;Arioston Araújo de Morais Júnior;Oral;A definir;Local;https://goo.gl/SpgJnk;https://goo.gl/tTK3zt;Controle e Instrumentação de Processos;a
A195;Predictive Control and Constrained Estimation through Particle Filter Applied to a CSTR with van de Vusse Reaction scheme;Julio Cesar Sampaio Dutra;Pôster;A definir;Local;https://goo.gl/DuXB6D;https://goo.gl/2z3mTr;Controle e Instrumentação de Processos;a
A196;Corn straw pretreatment for ethanol production: process simulation and exergy analysis;William Costa e Silva;Pôster;A definir;Local;https://goo.gl/a3UAAA;https://goo.gl/wNiiUn;Modelagem e Simulação de Processos;a
A197;Design and Assemble of a Low-Cost Level and Flow Control Prototype for a Process Control Teaching Laboratory;Arthur Benigno Weidmann;Oral;A definir;Local;https://goo.gl/W1Zfjr;https://goo.gl/hNJfCP;Controle e Instrumentação de Processos;a
A198;Simulation of Cogeneration Process from the Combustion of the Cashew Apple Bagasse;Álvaro Daniel Teles Pinheiro;Pôster;A definir;Local;https://goo.gl/joAPBa;https://goo.gl/4qDH5D;Modelagem e Simulação de Processos;a
A199;Simulation of the craft beer production process;Izabelly Larissa Lucena;Pôster;A definir;Local;https://goo.gl/uJfVvF;https://goo.gl/cYNt6a;Modelagem e Simulação de Processos;a
A200;Techno-economic-environmental assessment of routes for biodiesel production;Erich Potrich;Oral;A definir;Local;https://goo.gl/p8RgiE;https://goo.gl/N7Ko1u;Modelagem e Simulação de Processos;a
A201;Simulation of a Batch Distillation Column for the Triethylene Glycol Production;Nathália Romanzini Bastos;Pôster;A definir;Local;https://goo.gl/SdBvrE;https://goo.gl/Cszomm;Modelagem e Simulação de Processos;a
A202;Simulation of the cheese production process and introduction of enzymatic reactions through the simulator ProsimPlus;Anderson da Silva Chaves;Pôster;A definir;Local;https://goo.gl/f5SnFk;https://goo.gl/9jw9hh;Modelagem e Simulação de Processos;a
A203;New Insights on the Heat Exchanger Design Optimization Exploring Fouling Mitigation;André Luiz Hemerly Costa;Oral;A definir;Local;https://goo.gl/2gKQHz;https://goo.gl/Ry1NSM;Síntese e Projeto de Processos;a
A204;Breaking the Heuristic Paradigm for Chemical Process Equipment Design Using Optimization Techniques;André Luiz Hemerly Costa;Oral;A definir;Local;https://goo.gl/qTW5DA;https://goo.gl/1GU2n2;Síntese e Projeto de Processos;a
A205;Importance of Database and Computational Tools to Introduce RD&I of Chemical Process Engineering in Industry 4.0;Adriana Goulart;Pôster;A definir;Local;https://goo.gl/sjK8Za;https://goo.gl/qgd2VS;Tratamento de Dados e Aprendizado de Máquina;a
A206;A Review on Optimization Methods for Equation-Oriented Flowsheeting Ssystem;Luís Felipe Amaral da Cruz;Pôster;A definir;Local;https://goo.gl/zsjNm2;https://goo.gl/Ri9JXu;Otimização de Processos;a
A207;Development of process solution applied to specialty sugars: from R&D perspectives until the industrial scale;Renata Barbosa de Oliveira;Pôster;A definir;Local;http://tinyurl.com/y4vdlz2o;http://tinyurl.com/y3b94p2r;Integração e Intensificação de Processos;a
A208;Machine Learning for Predictive Maintenance;Caue Fontana;Pôster;A definir;Local;http://tinyurl.com/y4zb5jpv;http://tinyurl.com/y2qubpjx;Tratamento de Dados e Aprendizado de Máquina;a
A209;Virtual and Augmented Reality for Industrial Applications;Aldo Hinojosa;Pôster;A definir;Local;http://tinyurl.com/yxzpc5wl;http://tinyurl.com/y3se68ly;Aplicações Industriais de Ferramentas de PSE;a
A210;Application of Artificial Intelligence Modeling in the Flat Membranes Synthesis;Roberto Bentes de Carvalho;Oral;A definir;Local;http://tinyurl.com/yynncflz;http://tinyurl.com/y5cfs2ul;Modelagem e Simulação de Processos;a
A211;Definition of Preliminary Data of Process to Construction of Engineering Drawings: Application in the Elutriation Process;Roberto Bentes de Carvalho;Pôster;A definir;Local;http://tinyurl.com/yyu4j7pr;http://tinyurl.com/y2rt6683;Síntese e Projeto de Processos;a
